id	publicationid	ethnicity	population	populationinfo	subjecttype	subjectcount	version
7584449	116105	European	Greek	\N	healthy	283	1
7584450	116099	European	German	Munich	CAD	2485	1
7584451	116095	European	French	\N	\N	2178	1
7584452	116101	European	German	Kiel	adult epilepsy patients	70	1
7584453	116101	European	German	Kiel	healthy	242	1
7584454	116101	European	German	Kiel	pediatric epilepsy patients	221	1
7584455	116129	European	French	\N	coronary syndrome patients	411	1
7584456	116126	European	English	\N	cancer patients	230	1
7584457	116142	European	Polish	\N	GI patients	139	1
7584458	115984	European	Norwegian	\N	tamoxifen-treated women	90	1
7584459	116146	European	Russian	European part of Russia	healthy	352	1
7584460	116120	European	Dutch	\N	CAD	428	1
7584461	116133	European	German	Bad Krotzingen	CAD	760	1
7584462	115648	European	Caucasian	Kansas City	sample repository	107	1
7584463	116144	European	Polish	\N	cardiovascular patients	261	1
7584464	114558	European	Caucasian	\N	\N	454	1
7584465	116131	European	German	Hamburg, Karlsruhe	breast cancer, controls	8609	1
7584466	116115	European	Caucasian	\N	transplant patients	344	1
7584467	116117	European	Danish	\N	healthy	276	1
7584468	116117	European	Faroese	\N	healthy	311	1
7584469	116117	European	Norwegian	\N	healthy	309	1
7584470	115893	European	Swedish	\N	\N	185	1
7584471	116122	European	Dutch	\N	breast cancer	215	1
7584472	116148	European	Spanish	Valdecilla	Neurology patients	289	1
7584473	116124	European	Dutch	\N	psychiatry patients	178	1
7584474	116111	European	Bosnian	Tesanj	diabetic patients, nondiabetic participants	77	1
7584475	116135	European	German	Munich	CAD	986	1
7584476	116137	European	German	Munich	CAD	1524	1
7584477	116151	European	Swedish	\N	psychiatric patients, controls	1416	1
7584478	116139	European	German	Munich	CAD	928	1
7584479	114686	European	Danish	\N	cancer patients	339	1
7584480	116154	European	White	\N	cardiovascular patients	10285	1
7584481	114796	European	Swedish	\N	suicide, controls	713	1
7584482	116156	European	Dutch	\N	psychiatry patients	678	1
7584483	116160	European	White/Non-Hispanic	\N	\N	1253	1
7584484	114714	European	Hungarian	\N	\N	112	1
7584485	115663	European	Brazilian (Caucasian descent)	Brazilian urban centers across country	general population	615	1
7584486	114725	European	Italian	\N	breast cancer, controls	179	1
7584487	115650	European	White	US	n/a	357	1
7584488	116166	European	Italian	\N	controls	62	1
7584489	116168	European	Macedonian	\N	healthy	184	1
7584490	116168	European	Spanish	Northern Spain	healthy	282	1
7584491	115652	European	Caucasian	New York	healthy blood donors	250	1
7584492	116164	European	Hungarian	\N	healthy	370	1
7584493	116164	European	Roma	\N	healthy	500	1
7585018	117197	Near Eastern	Turkish	\N	\N	93	1
7584494	115146	European	Spanish	White Spanish	organ donors and recipents	570	1
7584495	115656	European	US	\N	from TRIUMPH study	2062	1
7584496	116198	European	Brazilian	European Brazilian	healthy controls	92	1
7584497	116173	European	Slovakian	\N	healthy	112	1
7584498	116178	European	Spanish	\N	healthy	362	1
7584499	116171	European	French	\N	elderly	156	1
7584500	114802	European	Swiss	\N	breast cancer	99	1
7584501	116180	European	Spanish	\N	healthy	151	1
7584502	116176	European	Spanish	Spaniards	Northern Spain	282	1
7584503	116192	European	Russian	South Ural	\N	54	1
7584504	115658	European	Caucasian	1000 Genomes population (CEU)	\N	99	1
7584505	116186	European	Lithuanian	\N	stent, but no thrombosois	456	1
7584506	116188	European	New Zealand	Whites	Wellington	232	1
7584507	116190	European	Russian	Moscow	peptic ulcer patients	971	1
7584508	116194	European	Spain	\N	patients with artery stenting	209	1
7584509	114444	European	US	Northwestern US	patients with PGx testing	621	1
7584510	116200	Latino	Bolivian	Mestizo with 82% Caucasian admixture	healthy	778	1
7584511	115645	Latino	Mexican Americans	Los Angeles	healthy	346	1
7584512	116203	Latino	Columbian	Mestizo	healthy	189	1
7584513	116205	Latino	Puerto Rican	\N	Newborn screening	122	1
7584514	115648	Latino	Hispanic	Kansas City	sample repository	108	1
7584515	115663	Latino	Brazilian Mulatto	Brazilian urban centers across country	general population	315	1
7584516	114461	Latino	Mexican	Mestizos	healthy	145	1
7584517	115650	Latino	Hispanic	US	n/a	346	1
7584518	116209	Latino	Brazilian (mixed)	Brazilians	white, brown and black skin color	1034	1
7584519	116168	Latino	Ecuadorian	Mestizo, Quito	healthy controls	297	1
7584520	115652	Latino	Hispanic	New York	healthy blood donors	250	1
7584521	116214	Latino	Puerto Ricans	\N	Newborn screening	99	1
7584522	115654	Latino	Hispanic Latinos	\N	from PEAR and INVEST studies	202	1
7584523	116219	Latino	Mexican	Mestizos, Mexico City	healthy	269	1
7584524	116176	Latino	Ecuadorian	Mestizo	healthy	297	1
7584525	116221	Latino	Mexican	Mestizos, Jalisco (Western Mexico)	healthy	238	1
7584526	116223	Latino	Mexican	Coriell	healthy	94	1
7584527	116223	Latino	Peruvian	\N	healthy	80	1
7584528	114457	Latino	Ecuadorian	\N	healthy	139	1
7584529	116226	Latino	Mexican	Mestizo	volunteers (64 epilepsy patients exluded)	300	1
7584530	116229	Latino	Mexican	\N	non-ST acute conorary syndromes	51	1
7584531	115643	Near Eastern	Saudi Arabians	\N	\N	97	1
7584532	114823	Near Eastern	Turkish	Southeastern Anatolia	various outpatients	404	1
7584533	116232	Near Eastern	Israeli	Jewish	healthy	140	1
7584534	116262	Near Eastern	Turkish	Southeastern Anatolia	healthy	96	1
7584535	116280	Near Eastern	Egyptian	Cairo	healthy	247	1
7584536	114809	Near Eastern	Bedouin	\N	\N	50	1
7584537	116264	Near Eastern	Turkish	\N	cancer patients	182	1
7584538	116266	Near Eastern	Turkish	\N	Behcet's disease, controls	169	1
7584539	116235	Near Eastern	Iranian	\N	healthy	200	1
7584540	116268	Near Eastern	Turkish	\N	cardiovascular patients, controls	198	1
7584541	116286	Near Eastern	Tunisian	\N	breast cancer patients and controls	544	1
7584542	116270	Near Eastern	Turkish	\N	endometriosis patients, controls	100	1
7584543	116272	Near Eastern	Turkish	\N	dyspeptic patients	100	1
7584544	116237	Near Eastern	Palestinian	\N	healthy	200	1
7584545	116237	Near Eastern	Palestinian	\N	hematological malignancy patients	52	1
7584546	116240	Near Eastern	Iranian	Shiraz, southern Iran	cardiovascular patients, controls	150	1
7584547	116242	Near Eastern	Iranian	\N	patients on warfarin	99	1
7584548	116274	Near Eastern	Turkish	\N	H. pylori–positive patients	105	1
7584549	116244	Near Eastern	Iranian	\N	gastroesophageal reflux disease patients	82	1
7584550	116246	Near Eastern	Lebanese	\N	healthy	161	1
7584551	116282	Near Eastern	Egyptian	Nile delta region	\N	120	1
7584552	116248	Near Eastern	Iranians	Mazandarani	healthy	103	1
7584553	114204	Near Eastern	Jordanians	\N	healthy	158	1
7584554	116251	Near Eastern	Jordanians	\N	healthy	78	1
7584555	116253	Near Eastern	Iranian	Turkman	healthy	140	1
7584556	116276	Near Eastern	Turkey	\N	colorectal cancer, controls	287	1
7584557	116257	Near Eastern	Iranian	\N	healthy	180	1
7584558	116255	Near Eastern	Iranian	Teheran	\N	691	1
7584559	116259	Near Eastern	Iranian	\N	healthy	180	1
7584560	116284	Near Eastern	Egyptian	Cairo	coronary artery disease	190	1
7584561	116278	Near Eastern	Turkey	Istanbul	non-ulcer diypepsia	200	1
7584562	116288	Oceanian	Vanuatu	Tanna and Malakula islands	malariometric survey	493	1
7584563	116290	Oceanian	Vanuatu	Malakula	malaria patients	100	1
7584564	116292	Oceanian	Aneityum	Language: Aneityum	healthy	317	1
7584565	116292	Oceanian	Aneityum	Language: Futuna-Aniwa	healthy	69	1
7584566	116292	Oceanian	Aniwa	Language: Futuna-Aniwa	healthy	346	1
7584567	116292	Oceanian	Efate	Language: Mele Fila	healthy	275	1
7584568	116292	Oceanian	Emae	Language: Emae	healthy	89	1
7584569	116292	Oceanian	Emae	Language: Namakura	healthy	84	1
7584570	116292	Oceanian	Emae	Language: North Efate	healthy	183	1
7584571	116292	Oceanian	Erromango	Language: Sie	healthy	454	1
7584572	116292	Oceanian	Futuna	Language: Futuna-Aniwa	healthy	292	1
7584573	116292	Oceanian	Gaua	Language: Lakona	healthy	149	1
7584574	116292	Oceanian	Gaua	Language: Wetamut	healthy	399	1
7584575	116292	Oceanian	Ifira	Language: Mele Fila	healthy	165	1
7584576	116292	Oceanian	Maewo	Language: Baetora	healthy	223	1
7584577	116292	Oceanian	Maewo	Language: Raga	healthy	158	1
7584578	116292	Oceanian	Malakula	Language: Big Nambas	healthy	386	1
7584579	116292	Oceanian	Malakula	Language: Lingarak	healthy	96	1
7584580	116292	Oceanian	Malo	Language: Malo	healthy	93	1
7584581	116292	Oceanian	Nguna	Language: North Efate	healthy	117	1
7584582	116292	Oceanian	Pentecost	Language: Sa	healthy	637	1
7584583	116292	Oceanian	Santo	Language: Akei	healthy	258	1
7584584	116292	Oceanian	Santo	Language: Tolomako	healthy	190	1
7584585	116292	Oceanian	Tanna	Language: Lenakel	healthy	258	1
7584586	116292	Oceanian	Tanna	Language: Southwest Tanna	healthy	57	1
7584587	116292	Oceanian	Tongoa	Language: North Efate	healthy	243	1
7584588	114839	Oceanian	Aboriginese	Western Australian	healthy	227	1
7584589	116318	Oceanian	Papua New Guinea	Jawia	healthy	75	1
7584590	116318	Oceanian	Papua New Guinea	Kiniambu	healthy	132	1
7584591	116318	Oceanian	Papua New Guinea	Witupe	healthy	194	1
7584592	116323	Oceanian	Papua New Guinea	Iruna (n=47), Tufi (n=10), Fly River (n=8)	healthy	65	1
7584593	114842	Oceanian	Maori	\N	\N	60	1
7584594	116188	Oceanian	New Zealand	Maori/Pacific Islander	ACS	70	1
7584595	116326	Sub-Saharan African	Zimbabwean	Shona	healthy	84	1
7584596	116328	Sub-Saharan African	Ethiopian	\N	healthy	114	1
7584597	116330	Sub-Saharan African	Tanzanian	Dar es Salaam	healthy	251	1
7584598	114423	Sub-Saharan African	Tanzanian	\N	\N	195	1
7584599	114425	Sub-Saharan African	South African	Venda	\N	76	1
7584600	114425	Sub-Saharan African	Tanzanian	\N	psychiatric patients and controls	192	1
7584601	114414	Sub-Saharan African	Ethiopian	Sweden	healthy	70	1
7584602	116003	Sub-Saharan African	Beninese	Zou department	healthy	111	1
7584603	116044	Sub-Saharan African	Ethiopian	Ethiopia and Sweden	\N	190	1
7584604	116338	Sub-Saharan African	Ghanaian	Accra	healthy	169	1
7584605	116340	Sub-Saharan African	Ugandan	healthy	\N	99	1
7584606	116343	Sub-Saharan African	Nigerian	95% from Southwest (Yoruba-speaking)	n=43 healthy, n=115 SCD	158	1
7584607	116345	Sub-Saharan African	South African	Xhosa	healthy	100	1
7584608	114558	Sub-Saharan African	African	\N	\N	250	1
7584609	114248	Sub-Saharan African	Black South African	Soweta, majority Zulu or Sotho-speaking	\N	985	1
7584610	115663	Sub-Saharan African	Brazilian (African descent)	Brazilian urban centers across country	general population	99	1
7584611	116348	Sub-Saharan African	South African	Black (cohort 2)	\N	70	1
7584612	116198	Sub-Saharan African	Brazilian	African Brazilian	healthy controls	87	1
7584613	115658	Sub-Saharan African	Ethiopian	\N	healthy	104	1
7584614	115658	Sub-Saharan African	Gambia	Western Divisions (GWD)	1000 Genomes	113	1
7584615	115658	Sub-Saharan African	Kenya	Luhya in Webuye (LWK)	1000 Genomes	99	1
7584616	115658	Sub-Saharan African	Nigeria	Esan (ESN)	1000 Genomes	99	1
7584617	115658	Sub-Saharan African	Nigeria	Yoruba in Ibadan (YRI)	1000 Genomes	108	1
7584618	115658	Sub-Saharan African	Sierra Leone	Mende (MSL)	1000 Genomes	85	1
7584619	116356	Sub-Saharan African	South African	representing South African population	healthy	100	1
7584620	116358	Sub-Saharan African	Ethiopian	male; residents of Addis Ababa	healthy	63	1
7584621	116697	African American/Afro-Caribbean	African-American	\N	Healthy controls	258	1
7584622	116691	African American/Afro-Caribbean	African-American	\N	\N	100	1
7584623	116681	African American/Afro-Caribbean	African-American	\N	\N	120	1
7584624	116681	African American/Afro-Caribbean	African-American	\N	\N	120	1
7584625	116699	African American/Afro-Caribbean	African-American	New Orleans, LA	Healthy controls	107	1
7584626	116699	African American/Afro-Caribbean	African-American	New Orleans, LA	Hypertensive patients	108	1
7584627	116687	African American/Afro-Caribbean	African-American	\N	\N	106	1
7584628	116702	African American/Afro-Caribbean	African-American	\N	Healthy controls	28	1
7584629	116689	African American/Afro-Caribbean	African-American	Birmingham, AL	Warfarin treated patients	226	1
7584630	116695	African American/Afro-Caribbean	African-American	\N	Warfarin treated patients	101	1
7584631	116581	African American/Afro-Caribbean	African-American	\N	\N	226	1
7584632	116678	African American/Afro-Caribbean	African-American	\N	Healthy controls	300	1
7584633	113845	African American/Afro-Caribbean	African-American	\N	Warfarin treated patients	220	1
7584634	116585	African American/Afro-Caribbean	African-American	\N	Warfarin treated patients	338	1
7584635	116248	African American/Afro-Caribbean	African-American	\N	\N	100	1
7584636	116574	African American/Afro-Caribbean	African-American	\N	IWPC; warfarin-treated African Americans	327	1
7584637	116574	African American/Afro-Caribbean	African-American	\N	UAB warfarin treated cohort	206	1
7584638	116574	African American/Afro-Caribbean	African-American	\N	replication cohort, warfarin patients from IWPC sites	432	1
7584639	116704	African American/Afro-Caribbean	African-American	\N	Pediatric sickle cell disease patients	30	1
7584640	116693	African American/Afro-Caribbean	African-American	\N	\N	264	1
7584641	113537	African American/Afro-Caribbean	African-American	Americans of African Ancestry in SW USA	\N	61	1
7584642	116570	African American/Afro-Caribbean	African-American	\N	warfarin-treated African Americans	274	1
7584643	116706	African American/Afro-Caribbean	African-American	\N	Sickle cell disease patients	165	1
7584644	116583	African American/Afro-Caribbean	African-American	\N	\N	60	1
7584645	116751	American	Canadian Inuit	\N	Unrelated individuals	88	1
7584646	116751	American	Canadian Native Indian	\N	\N	114	1
7584647	116725	American	Brazilian	\N	Warfarin treated patients	103	1
7584648	116744	American	Mexican	Tepehuano	\N	99	1
7584649	116723	American	Brazilian	Admixed population from southeast Brazil	Warfarin treated patients	780	1
7584650	116723	American	Brazilian	Guarani in Brazil	\N	90	1
7584651	116590	American	Brazilian	Guarani	\N	75	1
7584652	116590	American	Brazilian	Tupinikin	\N	147	1
7584653	115665	American	Brazilian	Guarani	\N	90	1
7584654	116728	American	Mexican	Huichol	\N	73	1
7584655	116728	American	Mexican	Mestizo	\N	947	1
7584656	116728	American	Mexican	Nahua	\N	212	1
7584657	116728	American	Mexican	Purepecha	\N	48	1
7584658	116728	American	Mexican	Tarahumara	\N	52	1
7584659	116728	American	Mexican	Teenek	\N	98	1
7584660	116708	American	American Indian and Alaska Native	Confederated Salish and Kootenai Tribes (CSKT)	\N	94	1
7584661	116735	American	Mexican	Cora	\N	81	1
7584662	116735	American	Mexican	Guarijio	\N	15	1
7584663	116735	American	Mexican	Huichol	\N	107	1
7584665	116735	American	Mexican	Mexicanero	\N	38	1
7584666	116735	American	Mexican	Seri	\N	19	1
7584667	116735	American	Mexican	Tarahumara	\N	74	1
7584668	116735	American	Mexican	Tepehuano	\N	127	1
7584669	113847	American	American Indian and Alaska Native	Center of Alaska Native Health Research cohort (CANHR)	\N	350	1
7584670	113847	American	American Indian and Alaska Native	Southcentral Foundation cohort (SCF)	\N	359	1
7584671	116746	American	Mexican	Maya	\N	184	1
7584672	116746	American	Mexican	Mixteco	\N	176	1
7584673	116746	American	Mexican	Tepehuano	\N	184	1
7584674	116746	American	Mexican	Zapoteca	\N	173	1
7584675	114444	American	American Indian and Alaska Native	\N	Pediatric patients	123	1
7584676	116714	American	Mexican	Chatino	\N	31	1
7584677	116714	American	Mexican	Chontal	\N	30	1
7584678	116714	American	Mexican	Cora	\N	30	1
7584679	116714	American	Mexican	Maya	\N	199	1
7584680	116714	American	Mexican	Mazahua	\N	47	1
7584681	116714	American	Mexican	Mixteco	\N	30	1
7584682	116714	American	Mexican	Teenek	\N	30	1
7584683	114400	American	Central Native American	Costa Rica	\N	193	1
7584684	114400	American	North Native American	Mexico	\N	823	1
7584685	114400	American	South Native American	Peru	\N	214	1
7584686	116816	Central/South Asian	Indian	Tamilian	\N	135	1
7584687	116771	Central/South Asian	Indian	Indians in Malaysia	Healthy controls	50	1
7584688	116771	Central/South Asian	Indian	Indians in Malaysia	Warfarin treated cohort	27	1
7584689	115680	Central/South Asian	Indian	South India - Andhra Pradesh, Karnataka, Kerala, Tamilnadu	\N	481	1
7584690	116809	Central/South Asian	Indian	Indians in Malaysia	\N	165	1
7584691	116826	Central/South Asian	Roma	\N	\N	465	1
7584692	116818	Central/South Asian	Indian	North Indian	\N	102	1
7584693	116820	Central/South Asian	Pakistani	Punjabi	Warfarin treated patients	120	1
7584694	116603	Central/South Asian	Indian	\N	\N	40	1
7584695	116778	Central/South Asian	Indian	\N	Epilepsy patients	402	1
7584696	116774	Central/South Asian	Indian	Indians in Malaysia	\N	76	1
7584697	116776	Central/South Asian	Indian	South Indian Tamilian	Diabetes patients	80	1
7584698	113864	Central/South Asian	North Indians	\N	\N	225	1
7584699	116824	Central/South Asian	Indian	\N	Warfarin treated patients	145	1
7584700	116782	Central/South Asian	Indian	\N	Acenocoumarol treated patients	111	1
7584701	116813	Central/South Asian	Indian	North India - Punjab, Haryana, Uttar Pradesh, New Delhi, Uttarakhand	\N	209	1
7584702	116813	Central/South Asian	Indian	South India - Tamil Nadu, Andhra Pradesh, Kerala	\N	82	1
7584703	116780	Central/South Asian	Indian	South Indian	Acenocoumarol treated patients	163	1
